#Acq. time (s)=	10
#Accumulations=	1
#Range (cm-¹)=	1300...1700
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Single accum. (Size=3)
#Delay time (s)=	0.1
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Standard
#ICS correction=	On
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Synapse
#Objective=	x20SLWD
#Grating=	1800 gr/mm
#ND Filter=	100%
#Laser (nm)=	633 
#Hole=	150.001
#Range=	Visible
#Collection=	Microscope
#StageXY=	Marzhauser
#StageZ=	Marzhauser
#X (µm)=	0
#Y (µm)=	0
#Z (µm)=	0
#Project=	20190124
#Sample=	1-2
#Site=	
#Title=	D_53
#Remark=	
#Date=	18.05.2019 23:40
#Acquired=	18.05.2019 23:40:32
1300.13	184.114
1300.4	187.346
1300.68	189.787
1300.95	191.177
1301.23	192.421
1301.5	192.952
1301.78	193.227
1302.05	193.392
1302.32	193.445
1302.6	193.478
1302.87	193.416
1303.15	193.3
1303.42	193.116
1303.69	193.007
1303.97	192.638
1304.24	192.241
1304.52	191.846
1304.79	191.417
1305.07	190.985
1305.34	190.54
1305.61	190.137
1305.89	189.551
1306.16	189.295
1306.44	189.105
1306.71	188.926
1306.98	188.834
1307.26	188.95
1307.53	189.07
1307.8	189.207
1308.08	189.311
1308.35	189.463
1308.63	189.627
1308.9	189.791
1309.17	189.99
1309.45	190.198
1309.72	190.233
1310	190.325
1310.27	190.611
1310.54	190.78
1310.82	191.116
1311.09	191.536
1311.36	191.934
1311.64	192.409
1311.91	192.864
1312.19	193.376
1312.46	193.876
1312.73	194.397
1313.01	194.912
1313.28	195.426
1313.55	195.934
1313.83	196.44
1314.1	196.943
1314.37	197.439
1314.65	197.823
1314.92	198.115
1315.19	198.471
1315.47	198.748
1315.74	198.953
1316.01	199.164
1316.29	199.26
1316.56	199.35
1316.83	199.36
1317.11	199.407
1317.38	199.467
1317.65	199.842
1317.93	200.284
1318.2	200.612
1318.47	200.67
1318.75	200.689
1319.02	200.72
1319.29	201.284
1319.57	202.066
1319.84	202.913
1320.11	203.642
1320.39	204.403
1320.66	205.479
1320.93	208.155
1321.2	209.636
1321.48	211.017
1321.75	212.396
1322.02	213.826
1322.3	215.39
1322.57	217.031
1322.84	218.705
1323.11	220.415
1323.39	222.071
1323.66	223.477
1323.93	224.644
1324.21	226.74
1324.48	228.462
1324.75	230.583
1325.02	232.802
1325.3	235.385
1325.57	237.771
1325.84	241.665
1326.11	245.754
1326.39	249.46
1326.66	254.195
1326.93	259.284
1327.2	265.293
1327.48	272.773
1327.75	282.633
1328.02	293.227
1328.3	304.656
1328.57	319.856
1328.84	335.366
1329.11	352.383
1329.38	374.637
1329.66	399.855
1329.93	434.421
1330.2	473.213
1330.47	522.261
1330.75	592.207
1331.02	673.691
1331.29	767.996
1331.56	884.265
1331.84	1019.56
